image,prompt,Subcarpeta
imgi_316_images.jpg,"the city skyline at night, panoramic photography, uhd hyperdetailed photography, 360 degree view, city birds eye view, cities flourishing, wide angle lens photography, full width, highrise buildings, blog-photo, super wide view of a cityscape, empyrean city, wide angle landscape photography, city scape, 8k fine art photography, aerial photography",sp
imgi_244_images.jpg,"a red kayak, on a kayak in a forest, small canoes, canoe, new hampshire, cottage hippie naturalist, gilligan's island, lake background, maritime pine, beautiful lake background, lake scene, red lake, cottagecore!! fitness body, cottagecore!!, group of seven, paddle of water, hemlocks, cottagecore",sp
imgi_15_images.jpg,"the real madrid team, celtics, boston celtics, full team, photo - real, photo-real, celtic, soccer players timo werner, fc barcelona, eagles, lowres, schutztruppe, “ iron bark, group, dark brown white green colours, football hooligans, wallpaper - 1 0 2 4, soccer, all body, manchester city, matchach",sp
imgi_335_images.jpg,"a group of girls posing for a picture, college girls, women full body, full body portrait of a group, group, cornell, group of people, young women, cgssociety, cgs society, genx, summer camp, a group of people, academia, group portrait, lesbians, sports photo, woman love woman, photo of sheryl sandberg",sp
imgi_383_images.jpg,"a body of water, dirty water, concentrated buildings, detailed school background, highschool background, some boats, academic, with water and boats, academia, boats, 3 boat in river, the harpoon is sharp, waterfront houses, boston, boats in the water, ten flats, schools of fish, institutional critique, from reading to playing games, waterways, american school",sp
imgi_472_images.jpg,"a group of people standing on a dock, 2 0 1 2 watermelon diner, summer swimming party, the man stands out on the image, summer camp, cottage core, water park, group, wheres waldo, floathing underwater in a lake, people drowning, wet hairy bodies, boy scout troop, t - pose, t-pose, in lake, waterfals",sp
imgi_543_images.jpg,"a group of people standing in a parking, incoherents, greta thunberg smiling, group of people, celebrating an illegal marriage, the man stands out on the image, pulittzer winner, unlikely hero, declan mckenna, graduation photo, a group of people, joel torres, gradins, muy definido, greta thunberg, pacal votan",sp
imgi_480_images.jpg,"two boys standing on a football field, petrol, standing in a stadium, on a football field, fetus, two young men, t allen lawson and ian fisher, studs, defence, green wall, smiling spartan, night time raid, leading spartans into battle, on the field, green and white, with a kid, james baxter and mark henn, dressed in spartan armour",sp
imgi_91_images.jpg,"two girls standing in front of a school bus, bus, public bus, passengers, buses, rv, ( ( ( buses, greta thunberg smiling, girl wearing uniform, blue clothes, yellow school bus, high school girls, gen z, people waiting in bus stop, young women, # e 5 3 7 1 b, blue uniform, two girls, dark blue clothes",sp
imgi_604_images.jpg,"a group of women in red uniforms are lined up in a line, red braided hair, berets, red hat, reds), red intricate long braids, red uniform, red cap, french braids, reds, red coat, red fabric coat, elaborate braided hair, color red, red tailcoat, long braided ash blonde hair, elaborate hairstyles, blonde braided hair",sp
imgi_63_default.jpg,"a group of people holding american flags, us flag, usa flag, american flag, patriotism, american flags, american flag on background, usa, patriotic, america, flag, patriotic!, american flag in background, flags, red white and black, 4th of july, vibrant colors americana, fourth of july, patriot, american, stars and stripes, americana",sp
imgi_154_images.jpg,"the statue of liberty and the american flag, us flag, usa flag, usa, american, america, american flag, patriotic, american city, americana, american flag on background, patriotism, american flag in background, american dream, patriotic!, american man, ussa, united states, god bless america, american flags, patriot, 4th of july",sp
imgi_485_images.jpg,"the disneyland world theme park, disneyland background, disney land, disneyland as backdrop, disneyland, disney disney, background is disneyland castle, disneyland castle, dysney, magic world, universal background, pixar movie panorama, magic kingdom, disney world, paris background, royalty kingdom, fantasy city background, studio disney, disney render, walt disney world, disney colors, fantasy town",sp
imgi_703_images.jpg,"a person holding a cell phone, scanning items with smartphone, smartphone displays qr code, wine bottle, bottle of wine, mobile app, holding a very advance phone, holding wine bottle, app, hold up smartphone, smart sharpen, holds a smart phone in one hand, with a bottle of wine, with labels and notes, professional product photo, product photo",sp
imgi_8_images.jpg,"a city street with a lot of people walking down it, full width, time square, panoramic photography, busy streets, street of new york, cities flourishing, times square, streetscapes, broadway, new york city background, crowded streets, 360 degree view, new york background, wallpaper - 1 0 2 4, blog-photo, standing in times square",sp
imgi_535_images.jpg,"a group of people riding on a raft, golden rainbow tubing, rainbow tubing, tubing, white water rapids, 3 boat in river, muted rainbow tubing, river rapids, rapids, in an african river, on a canva, photo print, small canoes, . background: jungle river, giant river, canoe, river with low flying parrots",sp
imgi_220_images.jpg,"the view from the top of the butte buttes in monument park, monument valley landscape, desert colors, arizona desert, monument valley, american west scenery, style of monument valley, desert background, wild west background, desert, arizona, serene desert setting, desert wasteland, desert setting, desert scenery, cool desert, flat desert, new mexican desert background, canyon background",sp
imgi_838_estudiar-eso-en-usa.jpg,"group of kids holding american flag, american flag on background, usa flag, us flag, america, usa, american school, latino american, flag in hands, group of people, american progress, a group of people, american flag in background, american flags, any racial background, american flag, diverse faces, vibrant colors americana, patriotism, a harmonious integration",sp
imgi_848_1490643017-las-vegas-nevada-usa-vacation.jpg,"the las strip at night, las vegas, las vegas at night, las vegas strip, sin city, well lit night in las vegas, by Cherryl Fountain, featuring flowing fountains, cities flourishing, stratosphere, fountains and arches, in las vegas, magical city, fantasy city background, universal background, the city that never sleeps, inspired by Michael Flohr, fountains",sp
imgi_242_images.jpg,"a group of young men sitting on a bench, dc, group of people, a group of people, the boys, group, capitol hill, gang, the man stands out on the image, washington dc, group photo, caps sideways, gen z, teenager hangout spot, gray hoodie, gray men, groups of people, in a black hoodie, destroyed washington dc",sp
imgi_333_images.jpg,"a home in the woods with a large yard, lovecraft country, camp, barracks, summer camp, resort, motel, cottages, he is at camp, cottage core, encampment, cottagecore, mass housing, ecovillage, campsites, ten flats, huts, pilgrim village setting, hidden tiny houses, white houses, center model buildings",sp
imgi_524_images.jpg,"police officers fire tear gas grenades at protesters in athens, police officers under heavy fire, riot game, police shootout, police shot, riot shields, chaotic riots in 2022, tactical squads :9, los angeles 2 0 1 5, swat, riot, an escalating violent firefight, tactical squads :19, capitol riot, after a riot",sp
imgi_816_internship-usa-para-espanoles-todo-lo-que-necesitas-saber-jpg.webp,"a group of people standing in front of a building, marble columns in background, white marble buildings, influencers, greta thunberg smiling, tourists in background, tourist photo, with many travelers, group of people, in the argentine congress, group photo, in a city with a rich history, group, walking down a marble stairwell, extremely wide angle, chateau frontenac",sp
imgi_329_images.jpg,"the campus of the university of texas, helicopter view, view from helicopter, coastal, photo taken from above, aerial, bird's eye view, from a bird's eye view, bird - eye view, bird eye view, aerial shot, florida, huge towering magical university, aerial view from above, bird view, aerial view, very beautiful!! aerial shot, ariel view",sp
imgi_235_images.jpg,"a woman standing next to a school bus, yellow school bus, bus, ( ( ( buses, vehicle, public bus, buses, # e 5 3 7 1 b, american school, back to school comedy, sky blue and white color scheme, vehicles, transportation design, t - pose, t-pose, schools, rv, kailee mandel, gen z",sp
imgi_379_images.jpg,"the university of california campus, cal-arts, huge towering magical university, city on a hillside, ca, university, the city of santa barbara, concentrated buildings, cupertino, academia, bay area, analysis city, california, aerial, bathing inside the tar pit, fully built buildings, ivory towers, city background, large city, mediterranean city, with rolling hills",sp
imgi_489_images.jpg,"a family poses for a photo with their dog, family photography, of a family standing in a park, happy family, portrait of family of three, group of people, photo realisitc, family photo, he is wearing a brown sweater, 2019, 2 0 1 9, 2019 trending photo, professional foto, photo for a store",sp
